Designator,Mid X,Mid Y,Rotation,Layer
C1,212.755999,-44.690484,0.0,top
C10,205.415999,-44.927734,90.0,top
C11,212.721999,-55.881377,315.0,top
C12,209.197749,-46.721502,90.0,top
C13,200.180749,-49.261502,90.0,top
C14,206.304999,-60.548734,270.0,top
C15,199.164749,-55.103502,225.0,top
C16,211.892999,-47.975734,0.0,top
C17,211.892999,-49.499734,0.0,top
C2,209.735999,-36.645484,180.0,top
C3,201.935999,-39.705484,0.0,top
C4,208.181749,-46.721502,90.0,top
C5,203.891999,-44.927734,90.0,top
C6,207.828999,-60.548734,270.0,top
C7,199.700999,-64.374502,270.0,top
C8,206.403749,-64.120502,90.0,top
C9,212.755999,-43.490484,180.0,top
D1,213.285999,-40.475484,90.0,top
D2,215.665999,-35.545484,90.0,top
D3,217.793499,-51.565484,180.0,top
F1,210.545999,-33.525484,0.0,top
J1,205.414499,-26.065484,180.0,top
MX1,206.750032,-77.984746,0.0,bottom
MX11,285.812032,-50.001746,0.0,bottom
MX13,312.330032,-38.005746,0.0,bottom
MX16,340.685032,-40.980746,0.0,bottom
MX18,366.908032,-57.016746,0.0,bottom
MX20,285.812032,-77.610746,0.0,bottom
MX22,312.330032,-65.615746,0.0,bottom
MX24,340.685032,-68.590746,0.0,bottom
MX25,366.908032,-84.626746,0.0,bottom
MX27,133.977032,-145.135746,0.0,bottom
MX3,46.810032,-85.250746,0.0,bottom
MX30,156.665032,-160.904746,0.0,bottom
MX31,278.797032,-113.950746,0.0,bottom
MX34,256.110032,-129.720746,0.0,bottom
MX35,278.797032,-145.135746,0.0,bottom
MX37,256.110032,-160.905746,0.0,bottom
MX40,301.454032,-129.720746,0.0,bottom
MX6,72.090032,-68.947746,0.0,bottom
MX7,100.446032,-66.221746,0.0,bottom
MX9,127.018032,-77.984746,0.0,bottom
R1,212.58,-29.17,180.0,top
R10,192.685999,-37.785484,270.0,top
R11,204.272999,-60.548734,90.0,top
R2,201.265999,-33.295484,180.0,top
R3,212.095999,-30.635484,0.0,top
R4,215.165999,-51.575484,0.0,top
R5,215.865999,-47.670484,270.0,top
R6,217.405999,-47.670484,90.0,top
R7,211.335999,-59.995484,180.0,top
R8,205.845999,-41.205484,270.0,top
R9,207.375999,-41.205484,270.0,top
SW1,194.445999,-32.565484,270.0,top
U1,210.188499,-38.885484,180.0,top
U2,205.415999,-35.415484,270.0,top
U3,205.415999,-52.960484,0.0,top
U4,196.285999,-41.615484,0.0,top
Y1,203.129999,-64.104734,180.0,top
